entityid,entityName
313,"Wolf Hollow I Power, LLC"
327,Air Liquide Large Industries U S LP
429,Occidental Permian Ltd
914,Total Petrochemicals USA Inc
1015,Austin Energy
1074,"Hays Energy, LLC"
1182,BASF Corporation
1357,BASF Corp
2171,Brazos Valley Energy
2172,Brazos Electric Power Coop Inc
2409,Brownsville Public Utilities Board
2442,City of Bryan - (TX)
2770,Terra-Gen Operating Co-Wind
2838,Baytown Energy Center LLC
2877,Calpine Corp-Magic Valley
2934,Calpine Corp - Hidalgo
3370,Channel Energy Center LLC
3432,Ticona Polymers Inc
4383,Corpus Christi Cogeneration LLC
4405,NRG Cottonwood Tenant LLC
4994,Deer Park Energy Center
5063,City of Denton - (TX)
5065,Equistar Chemicals LP
5338,Dow Chemical Co
5374,Dow Chemical Company-Oyster Creek VIII
5701,El Paso Electric Co
5761,Ennis Power Company LLC
6035,Exelon Power
6090,ExxonMobil Oil Corp
6091,Exxon Mobil Refining and Supply Co.
6354,FPL Energy Upton Wind LP
6426,Flint Hills Resources Corpus Christi LLC
6541,Formosa Plastics Corp
6763,Freestone Power Generation LLC
6831,Ft Worth City of
6958,City of Garland - (TX)
7349,"Golden Spread Electric Cooperative, Inc"
7375,Goodyear Tire & Rubber Co
7634,City of Greenville - (TX)
7667,Gregory Power Partners LLC
7751,Guadalupe Blanco River Authority
9339,International Bound & Wtr Comm
11059,Pasadena Cogeneration LP
11269,Lower Colorado River Authority
11292,City of Lubbock - (TX)
12307,WestRock (TX)
12501,Midlothian Energy LLC
12981,Motiva Enterprises LLC
13670,"Northeast Texas Elec Coop, Inc"
13866,NWP Indian Mesa Wind Farm LP
14254,Oxy Vinyls LP
14628,Pecos Wind I LP
14629,Pecos Wind II LP
14925,Phelps Dodge Refining Corp
15300,"BHER Power Resources, Inc"
15399,Avangrid Renewables LLC
15941,Rice University
16098,"Rio Grande Valley Sugar Growers, Inc."
16604,City of San Antonio - (TX)
16624,"San Miguel Electric Coop, Inc"
17052,Shell Chemical LP
17058,Shell Wind Energy Inc.
17145,Sid Richardson Carbon Ltd
17566,South Houston Green Power LLC
17583,"South Texas Electric Coop, Inc"
17650,Southern Power Co
17698,Southwestern Electric Power Co
17718,Southwestern Public Service Co
18050,State Farm Mutual Auto Ins Co
18518,Tenaska Gateway Partners Ltd
18611,Tenaska Frontier Partners Ltd
18760,"TPC Group, LLC"
19171,Trent Wind Farm LP
