,period,stateId,producertypeid,energysourceid,capability,capability-units
0,2012,TX,TOT,ALL,109568.4,megawatts
1,2012,TX,TOT,WOO,320.3,megawatts
2,2012,TX,TOT,WND,12178.9,megawatts
3,2012,TX,TOT,SOLPV,75.2,megawatts
4,2012,TX,TOT,SOL,75.2,megawatts
5,2012,TX,TOT,PETST,434.8,megawatts
6,2012,TX,TOT,PETIC,62.5,megawatts
7,2012,TX,TOT,PET,497.3,megawatts
8,2012,TX,TOT,OOG,345.6,megawatts
9,2012,TX,TOT,OBM,120.8,megawatts
10,2012,TX,TOT,OT,228.3,megawatts
11,2012,TX,TOT,NUC,4960,megawatts
12,2012,TX,TOT,NGST,22249.1,megawatts
13,2012,TX,TOT,NGIC,426.2,megawatts
14,2012,TX,TOT,NGGT,7374.3,megawatts
15,2012,TX,TOT,NGCC,36933.7,megawatts
16,2012,TX,TOT,NG,66983.3,megawatts
17,2012,TX,TOT,HYC,689.3,megawatts
18,2012,TX,TOT,COL,23132.4,megawatts
19,2012,TX,TOT,BAT,37,megawatts
20,2012,TX,IPP,ALL,81105.7,megawatts
21,2012,TX,IPP,WOO,320.3,megawatts
22,2012,TX,IPP,WND,12099.4,megawatts
23,2012,TX,IPP,SOLPV,75.2,megawatts
24,2012,TX,IPP,SOL,75.2,megawatts
25,2012,TX,IPP,PETST,434.8,megawatts
26,2012,TX,IPP,PETIC,47.2,megawatts
27,2012,TX,IPP,PET,482,megawatts
28,2012,TX,IPP,OOG,345.6,megawatts
29,2012,TX,IPP,OBM,120.8,megawatts
30,2012,TX,IPP,OT,228.3,megawatts
31,2012,TX,IPP,NUC,4960,megawatts
32,2012,TX,IPP,NGST,12013.1,megawatts
33,2012,TX,IPP,NGIC,38.2,megawatts
34,2012,TX,IPP,NGGT,4850.4,megawatts
35,2012,TX,IPP,NGCC,32137.8,megawatts
36,2012,TX,IPP,NG,49039.5,megawatts
37,2012,TX,IPP,HYC,7.2,megawatts
38,2012,TX,IPP,COL,13390.4,megawatts
39,2012,TX,IPP,BAT,37,megawatts
40,2012,TX,EU,ALL,28462.7,megawatts
41,2012,TX,EU,WND,79.5,megawatts
42,2012,TX,EU,PETIC,15.3,megawatts
43,2012,TX,EU,PET,15.3,megawatts
44,2012,TX,EU,NGST,10236,megawatts
45,2012,TX,EU,NGIC,388,megawatts
46,2012,TX,EU,NGGT,2523.9,megawatts
47,2012,TX,EU,NGCC,4795.9,megawatts
48,2012,TX,EU,NG,17943.8,megawatts
49,2012,TX,EU,HYC,682.1,megawatts
50,2012,TX,EU,COL,9742,megawatts
51,2011,TX,TOT,ALL,109178.5,megawatts
52,2011,TX,TOT,WOO,216.2,megawatts
53,2011,TX,TOT,WND,10361.3,megawatts
54,2011,TX,TOT,SOLPV,43.5,megawatts
55,2011,TX,TOT,SOL,43.5,megawatts
56,2011,TX,TOT,PETST,145.6,megawatts
57,2011,TX,TOT,PETIC,62,megawatts
58,2011,TX,TOT,PET,207.6,megawatts
59,2011,TX,TOT,OOG,305.6,megawatts
60,2011,TX,TOT,OBM,125.8,megawatts
61,2011,TX,TOT,OT,227.7,megawatts
62,2011,TX,TOT,NUC,4960,megawatts
63,2011,TX,TOT,NGST,23770.1,megawatts
64,2011,TX,TOT,NGIC,423,megawatts
65,2011,TX,TOT,NGGT,7469.3,megawatts
66,2011,TX,TOT,NGCC,37197.7,megawatts
67,2011,TX,TOT,NG,68860.1,megawatts
68,2011,TX,TOT,HYC,689.3,megawatts
69,2011,TX,TOT,COL,23180.4,megawatts
70,2011,TX,TOT,BAT,1,megawatts
71,2011,TX,IPP,ALL,81789.3,megawatts
72,2011,TX,IPP,WOO,216.2,megawatts
73,2011,TX,IPP,WND,10281.8,megawatts
74,2011,TX,IPP,SOLPV,43.5,megawatts
75,2011,TX,IPP,SOL,43.5,megawatts
76,2011,TX,IPP,PETST,145.6,megawatts
77,2011,TX,IPP,PETIC,47.2,megawatts
78,2011,TX,IPP,PET,192.8,megawatts
79,2011,TX,IPP,OOG,305.6,megawatts
80,2011,TX,IPP,OBM,125.8,megawatts
81,2011,TX,IPP,OT,227.7,megawatts
82,2011,TX,IPP,NUC,4960,megawatts
83,2011,TX,IPP,NGST,13419.1,megawatts
84,2011,TX,IPP,NGIC,35,megawatts
85,2011,TX,IPP,NGGT,4912.4,megawatts
86,2011,TX,IPP,NGCC,33643.8,megawatts
87,2011,TX,IPP,NG,52010.3,megawatts
88,2011,TX,IPP,HYC,7.2,megawatts
89,2011,TX,IPP,COL,13417.4,megawatts
90,2011,TX,IPP,BAT,1,megawatts
91,2011,TX,EU,ALL,27389.2,megawatts
92,2011,TX,EU,WND,79.5,megawatts
93,2011,TX,EU,PETIC,14.8,megawatts
94,2011,TX,EU,PET,14.8,megawatts
95,2011,TX,EU,NGST,10351,megawatts
96,2011,TX,EU,NGIC,388,megawatts
97,2011,TX,EU,NGGT,2556.9,megawatts
98,2011,TX,EU,NGCC,3553.9,megawatts
99,2011,TX,EU,NG,16849.8,megawatts
100,2011,TX,EU,HYC,682.1,megawatts
101,2011,TX,EU,COL,9763,megawatts
102,2010,TX,TOT,WOO,214.5,megawatts
103,2010,TX,TOT,WND,9951.9,megawatts
104,2010,TX,TOT,SOLPV,13.5,megawatts
105,2010,TX,TOT,SOL,13.5,megawatts
106,2010,TX,TOT,PETST,145.6,megawatts
107,2010,TX,TOT,PETIC,58.6,megawatts
108,2010,TX,TOT,PET,204.2,megawatts
109,2010,TX,TOT,OOG,305.6,megawatts
110,2010,TX,TOT,OBM,115.4,megawatts
111,2010,TX,TOT,OT,987.7,megawatts
112,2010,TX,TOT,NUC,4966,megawatts
113,2010,TX,TOT,NGST,25270.3,megawatts
114,2010,TX,TOT,NGIC,262.5,megawatts
115,2010,TX,TOT,NGGT,7713.9,megawatts
116,2010,TX,TOT,NGCC,35226.3,megawatts
117,2010,TX,TOT,NG,68473,megawatts
118,2010,TX,TOT,HYC,689.3,megawatts
119,2010,TX,TOT,COL,22335.4,megawatts
120,2010,TX,TOT,BAT,1,megawatts
121,2010,TX,TOT,ALL,108257.5,megawatts
122,2010,TX,IPP,ALL,81724.1,megawatts
123,2010,TX,IPP,WOO,214.5,megawatts
124,2010,TX,IPP,WND,9950.6,megawatts
125,2010,TX,IPP,SOLPV,13.5,megawatts
126,2010,TX,IPP,SOL,13.5,megawatts
127,2010,TX,IPP,PETST,145.6,megawatts
128,2010,TX,IPP,PETIC,43.8,megawatts
129,2010,TX,IPP,PET,189.4,megawatts
130,2010,TX,IPP,OOG,305.6,megawatts
131,2010,TX,IPP,OBM,115.4,megawatts
132,2010,TX,IPP,OT,987.7,megawatts
133,2010,TX,IPP,NUC,4966,megawatts
134,2010,TX,IPP,NGST,14536.3,megawatts
135,2010,TX,IPP,NGIC,34.7,megawatts
136,2010,TX,IPP,NGGT,5328,megawatts
137,2010,TX,IPP,NGCC,32499.8,megawatts
138,2010,TX,IPP,NG,52398.8,megawatts
139,2010,TX,IPP,HYC,7.2,megawatts
140,2010,TX,IPP,COL,12574.4,megawatts
141,2010,TX,IPP,BAT,1,megawatts
142,2010,TX,EU,ALL,26533.4,megawatts
143,2010,TX,EU,WND,1.3,megawatts
144,2010,TX,EU,PETIC,14.8,megawatts
145,2010,TX,EU,PET,14.8,megawatts
146,2010,TX,EU,NGST,10734,megawatts
147,2010,TX,EU,NGIC,227.8,megawatts
148,2010,TX,EU,NGGT,2385.9,megawatts
149,2010,TX,EU,NGCC,2726.5,megawatts
150,2010,TX,EU,NG,16074.2,megawatts
151,2010,TX,EU,HYC,682.1,megawatts
152,2010,TX,EU,COL,9761,megawatts
153,2009,TX,TOT,NGST,24669,megawatts
154,2009,TX,TOT,NGOTH,5,megawatts
