,period,stateid,sector,entityid,plantid,generatorid,technology,energy_source_code,prime_mover_code,status,latitude,longitude
0,2023-01,TX,electric-utility,1015,3548,GT1,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.3033,-97.6128
1,2023-01,TX,electric-utility,1015,3548,GT2,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.3033,-97.6128
2,2023-01,TX,electric-utility,1015,3548,GT3,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.3033,-97.6128
3,2023-01,TX,industrial-chp,1182,55311,GEN1,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.002,-95.394
4,2023-01,TX,industrial-chp,1182,55311,GEN2,All Other,WH,ST,OP,29.002,-95.394
5,2023-01,TX,electric-utility,1015,3548,GT4,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.3033,-97.6128
6,2023-01,TX,electric-utility,1015,7900,5A,Natural Gas Fired Combined Cycle,NG,CT,OP,30.2098,-97.6129
7,2023-01,TX,electric-utility,1015,7900,5C,Natural Gas Fired Combined Cycle,NG,CA,OP,30.2098,-97.6129
8,2023-01,TX,electric-utility,1015,7900,SH1,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.2098,-97.6129
9,2023-01,TX,electric-utility,1015,7900,SH2,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.2098,-97.6129
10,2023-01,TX,electric-utility,1015,7900,SH3,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.2098,-97.6129
11,2023-01,TX,electric-utility,1015,7900,SH4,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.2098,-97.6129
12,2023-01,TX,electric-utility,1015,7900,SH6,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.2098,-97.6129
13,2023-01,TX,electric-utility,1015,7900,SH7,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.2098,-97.6129
14,2023-01,TX,electric-utility,1015,55708,STG4,Wood/Wood Waste Biomass,WDS,ST,OP,31.832132,-94.90064
15,2023-01,TX,electric-utility,1015,56374,CT1,Natural Gas Fired Combustion Turbine,NG,GT,OP,30.304994,-97.707675
16,2023-01,TX,electric-utility,1015,56374,DG1,Petroleum Liquids,DFO,IC,SB,30.304994,-97.707675
17,2023-01,TX,industrial-chp,429,52122,GEN1,Natural Gas Fired Combustion Turbine,NG,GT,OP,33.009944,-102.756945
18,2023-01,TX,industrial-chp,1357,55122,UN1,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.954321,-93.883592
19,2023-01,TX,industrial-chp,1357,55122,UN2,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.954321,-93.883592
20,2023-01,TX,electric-utility,2172,55230,CT3,Natural Gas Fired Combined Cycle,NG,CT,OP,33.101,-97.9574
21,2023-01,TX,electric-utility,2172,55230,CT4,Natural Gas Fired Combined Cycle,NG,CT,OP,33.101,-97.9574
22,2023-01,TX,electric-utility,2172,55230,ST1,Natural Gas Fired Combined Cycle,NG,CA,OP,33.101,-97.9574
23,2023-01,TX,electric-utility,2172,55230,ST2,Natural Gas Fired Combined Cycle,NG,CA,OP,33.101,-97.9574
24,2023-01,TX,electric-utility,2172,3628,1,Natural Gas Steam Turbine,NG,ST,OS,32.6581,-98.3103
25,2023-01,TX,ipp-non-chp,2171,55357,CTG1,Natural Gas Fired Combined Cycle,NG,CT,OP,29.4731,-95.6244
26,2023-01,TX,ipp-non-chp,2171,55357,CTG2,Natural Gas Fired Combined Cycle,NG,CT,OP,29.4731,-95.6244
27,2023-01,TX,ipp-non-chp,2171,55357,STG1,Natural Gas Fired Combined Cycle,NG,CA,OP,29.4731,-95.6244
28,2023-01,TX,electric-utility,2172,3628,2,Natural Gas Steam Turbine,NG,ST,OP,32.6581,-98.3103
29,2023-01,TX,electric-utility,2172,3628,3,Natural Gas Steam Turbine,NG,ST,OP,32.6581,-98.3103
30,2023-01,TX,electric-utility,2172,3628,4,Natural Gas Fired Combustion Turbine,NG,GT,OP,32.6581,-98.3103
31,2023-01,TX,electric-utility,2172,3628,5,Natural Gas Fired Combustion Turbine,NG,GT,OP,32.6581,-98.3103
32,2023-01,TX,electric-utility,2172,54817,GT-1,Natural Gas Fired Combined Cycle,NG,CT,OP,32.3994,-97.4078
33,2023-01,TX,electric-utility,2172,54817,ST-1,Natural Gas Fired Combined Cycle,NG,CA,OP,32.3994,-97.4078
34,2023-01,TX,electric-utility,2172,55230,CT1,Natural Gas Fired Combined Cycle,NG,CT,OP,33.101,-97.9574
35,2023-01,TX,electric-utility,2172,55230,CT2,Natural Gas Fired Combined Cycle,NG,CT,OP,33.101,-97.9574
36,2023-01,TX,industrial-chp,914,10568,GEN1,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.964938,-93.891283
37,2023-01,TX,electric-utility,1015,61741,KBESS,Batteries,MWH,BA,OP,30.266028,-97.686139
38,2023-01,TX,electric-utility,1015,61742,GEN1,Flywheels,MWH,FW,SB,30.219946,-97.708808
39,2023-01,TX,electric-utility,1015,61742,GEN2,Flywheels,MWH,FW,SB,30.219946,-97.708808
40,2023-01,TX,ipp-non-chp,1074,55144,U4,Natural Gas Fired Combined Cycle,NG,CS,OP,29.7806,-97.9894
41,2023-01,TX,ipp-non-chp,1074,55144,U1,Natural Gas Fired Combined Cycle,NG,CS,OP,29.7806,-97.9894
42,2023-01,TX,ipp-non-chp,1074,55144,U2,Natural Gas Fired Combined Cycle,NG,CS,OP,29.7806,-97.9894
43,2023-01,TX,ipp-non-chp,1074,55144,U3,Natural Gas Fired Combined Cycle,NG,CS,OP,29.7806,-97.9894
44,2023-01,TX,industrial-chp,327,10298,GT1,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.6225,-95.0458
45,2023-01,TX,industrial-chp,327,10298,GT2,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.6225,-95.0458
46,2023-01,TX,industrial-chp,327,10298,GT3,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.6225,-95.0458
47,2023-01,TX,industrial-chp,327,10298,GT4,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.6225,-95.0458
48,2023-01,TX,industrial-chp,327,54748,G1,Natural Gas Fired Combustion Turbine,NG,GT,OP,29.97876,-93.952294
49,2023-01,TX,ipp-non-chp,313,55139,CTG1,Natural Gas Fired Combined Cycle,NG,CT,OP,32.33422,-97.731686
50,2023-01,TX,ipp-non-chp,313,55139,CTG2,Natural Gas Fired Combined Cycle,NG,CT,OP,32.33422,-97.731686
51,2023-01,TX,ipp-non-chp,313,55139,ST,Natural Gas Fired Combined Cycle,NG,CA,OP,32.33422,-97.731686
52,2023-01,TX,industrial-chp,5338,56152,CTG1,Natural Gas Fired Combined Cycle,NG,CT,OP,28.988761,-95.395417
53,2023-01,TX,industrial-chp,5338,56152,STG1,Natural Gas Fired Combined Cycle,NG,CA,OP,28.988761,-95.395417
54,2023-01,TX,ipp-chp,5374,54676,G81,Natural Gas Fired Combined Cycle,NG,CT,OP,28.9802,-95.342
55,2023-01,TX,ipp-chp,5374,54676,G82,Natural Gas Fired Combined Cycle,NG,CT,OP,28.9802,-95.342
56,2023-01,TX,ipp-chp,5374,54676,G83,Natural Gas Fired Combined Cycle,NG,CT,OP,28.9802,-95.342
57,2023-01,TX,ipp-chp,5374,54676,G84,Natural Gas Fired Combined Cycle,NG,CA,OP,28.9802,-95.342
58,2023-01,TX,industrial-chp,3432,10243,GEN5,Natural Gas Fired Combustion Turbine,NG,GT,OP,27.5697,-97.8228
59,2023-01,TX,ipp-chp,3370,55299,CTG1,Natural Gas Fired Combined Cycle,NG,CT,OP,29.7189,-95.2319
60,2023-01,TX,ipp-chp,3370,55299,CTG2,Natural Gas Fired Combined Cycle,NG,CT,OP,29.7189,-95.2319
