,period,seriesId,value,unit
0,2023-01,CLEPCNS_TX,2542.258,thousand short tons
1,2023-01,PAEPGEN_TX,0.008989852,billion kilowatthours
2,2023-01,CLEPGEN_TX,3.350762366,billion kilowatthours
3,2023-01,NGEPGEN_TX,12.517534399,billion kilowatthours
4,2023-01,NGEPCNS_TX,103.396003,billion cubic feet
5,2023-01,PAEPCNS_TX,22.669,thousand barrels
6,2022-12,CLEPCNS_TX,3995.628,thousand short tons
7,2022-12,PAEPGEN_TX,0.09805635,billion kilowatthours
8,2022-12,PAEPCNS_TX,227.992,thousand barrels
9,2022-12,NGEPGEN_TX,14.586473427,billion kilowatthours
10,2022-12,NGEPCNS_TX,117.037589,billion cubic feet
11,2022-12,CLEPGEN_TX,5.455245849,billion kilowatthours
12,2022-11,NGEPCNS_TX,99.396507,billion cubic feet
13,2022-11,NGEPGEN_TX,12.046655903,billion kilowatthours
14,2022-11,PAEPCNS_TX,28.747,thousand barrels
15,2022-11,PAEPGEN_TX,0.014218571,billion kilowatthours
16,2022-11,CLEPCNS_TX,3886.164,thousand short tons
17,2022-11,CLEPGEN_TX,5.504823316,billion kilowatthours
18,2022-10,CLEPCNS_TX,3940.921,thousand short tons
19,2022-10,PAEPGEN_TX,0.01569722,billion kilowatthours
20,2022-10,PAEPCNS_TX,37.06,thousand barrels
21,2022-10,NGEPGEN_TX,14.27722329,billion kilowatthours
22,2022-10,NGEPCNS_TX,116.243914,billion cubic feet
23,2022-10,CLEPGEN_TX,5.603011948,billion kilowatthours
24,2022-09,CLEPCNS_TX,4426.88,thousand short tons
25,2022-09,PAEPGEN_TX,0.011193487,billion kilowatthours
26,2022-09,PAEPCNS_TX,24.408,thousand barrels
27,2022-09,NGEPGEN_TX,19.232498057,billion kilowatthours
28,2022-09,NGEPCNS_TX,152.357819,billion cubic feet
29,2022-09,CLEPGEN_TX,6.303659776,billion kilowatthours
30,2022-08,NGEPCNS_TX,183.737182,billion cubic feet
31,2022-08,NGEPGEN_TX,22.87411766,billion kilowatthours
32,2022-08,PAEPCNS_TX,23.844,thousand barrels
33,2022-08,PAEPGEN_TX,0.01069355,billion kilowatthours
34,2022-08,CLEPCNS_TX,4707.024,thousand short tons
