plantid,plantName
3548,Decker Creek
55091,Midlothian Energy Facility
61895,Toyota HQ Plan
58488,"Bryan Solar, LLC"
60366,Old Settler Wind
61887,Fort Bliss (DEA EPIC)
60339,Horse Creek Wind Farm
60338,Electra Wind Farm
63738,Helena Wind
65571,Verizon Hidden Ridge Solar Project
65521,"Longbow Solar, LLC"
64389,Niagara Bottling - Seguin
63739,Las Majadas Wind Farm
63737,Chisholm Grid Energy Storage System
59972,Bearkat
59734,Briscoe Wind Farm
59733,Green Pastures Wind II
59732,Green Pastures Wind I
62642,GE-Lubbock
61417,Gopher Creek Wind Farm
61402,Foard City Wind
59654,Sendero
59649,Nelson Gardens Landfill Gas to Energy
52065,Houston Plant
59245,Fluvanna
58162,Cirrus Wind 1 LLC
60217,Rocksprings
60210,Cotton Plains Wind Farm
61212,Flat Top Wind I
60987,Santa Rita Wind Energy
60682,Pearl Solar
59206,Alamo 6
57952,Woodall Gas Plant
60104,"Javelina Wind Energy, LLC"
52120,Freeport Energy
59621,TX Jumbo Road Wind
58716,"OCI Alamo 2, LLC"
58537,OCI Alamo Solar I Hybrid
60264,Bacliff
60059,Los Vientos V Wind Power
58404,Pantex
60044,Buckthorn Westex
58378,W.A. Parish Carbon Capture Plant
58372,Blue Summit Wind LLC
58363,Majestic II Wind
56648,Majestic 1 Wind Farm
62762,NASA Johnson Space Center CHP
59938,Sky Global Power One
61242,"Tres Port Power, LLC"
61241,Tres City Power LLC
62836,Maryneal Windpower
64813,WAL1040
64812,WAL972
64810,WAL947
64809,WAL940
64808,WAL897
64807,WAL896
64806,WAL872
64805,WAL849
64804,WAL791
64803,WAL772
64802,WAL768
63273,Wagyu
63329,Aragorn Solar Project
63328,Juno Solar Project
63320,Titan Solar Project
65372,Mark One Power Station
64383,Braes Bayou Plant
63688,Topaz Generating
63335,HO Clarke Generating
61346,RE Maplewood
58870,Rentech Nitrogen Pasadena Cogeneration
61872,Lampwick
56905,Great Plains Windpark LLC
65581,Westover
65580,Villa Cavasos
64801,WAL752
64800,WAL744
64799,WAL602
64798,WAL565
64797,WAL546
64796,WAL537
64795,WAL536
64794,WAL529
64793,WAL522
64792,WAL504
59244,Lorenzo Wind
61032,Heart of Texas Wind Project
64935,WAL3584
64934,WAL3572
64933,WAL3518
60460,Chamon Power LLC
60459,Port Comfort Power LLC
60902,Dermott Wind
60901,Willow Springs Wind Farm
54364,Works 4
56240,Buffalo Gap Wind Farm
61355,Arlington Outlet Hydroelectric Generator
65579,Vaquero
65578,Tumbleweed
64149,"Western Trail Wind, LLC"
64791,WAL462
64778,WAL461
64777,WAL456
64776,WAL452
64775,WAL447
64774,WAL414
64773,WAL407
64772,WAL284
64771,WAL266
64769,WAL194
64770,WAL202
60123,Castle Gap Solar Hybrid
64926,WAL3510
64925,WAL3500
64924,WAL3432
64923,WAL3425
64922,WAL3406
64902,WAL3390
64901,WAL3320
64900,WAL3302
64899,WAL3298
64898,WAL3297
56638,Buffalo Gap 3 Wind Farm
56484,Buffalo Gap 2 Wind Farm
65576,Stonegate
65575,Southwick
62809,BMP Wind (TX)
62715,Wildcat Creek Wind Farm LLC
64710,White Mesa Wind
57415,Sherbino II
56771,Silver Star I Wind Power Project
57520,Trinity Hills
64897,WAL3285
64896,WAL3284
64895,WAL3226
64893,WAL3224
64891,WAL2993
64890,WAL2980
64889,WAL2883
64888,WAL2724
64887,WAL2667
62249,Misae Solar
61205,Bandera Electric Coop PV
64528,Gambit Energy Storage - Angleton Storage
55053,Bridgeport Gas Processing Plant
65574,Santa Rosa
65573,Ridge Rd
65544,N. Mary Francis
66009,Crossett Power Management LLC
66008,Swoose II
66007,Flower Valley II
63180,"TPE Whitney Solar, LLC"
65048,Hubbard Wind
65274,HEB00182
65269,HEB00110
65268,HEB00109
65267,HEB00099
65266,HEB00070
64591,"El Algodon Alto Wind Farm, LLC"
64538,Corazon Energy LLC
60856,Astra Wind Farm
64079,CatanSolar
62773,"BT Cooke Solar, LLC"
59332,Mesquite Creek Wind
65543,Mckeever
65542,Goldsmith
65265,HEB00057
65264,HEB00054
65263,HEB00038
65262,HEB00028
65261,HEB00020
65026,HEB00292
10184,Central Utility Plant
61493,E-Volve Energy Holdings LLC
61970,"Blue Summit II Wind, LLC"
61969,"Torrecillas Wind Energy, LLC"
63255,2W Permian Solar Project Hybrid
59417,Pleasant Hill Wind Energy Project
65546,Inertia Wind Project
65541,GCWA
65540,Frankel
66310,Cutlass Solar 1 LLC
50304,Shell Deer Park
63030,"Canadian Breaks, LLC"
55579,Llano Estacado Wind Ranch
62620,Sage Draw Wind
64828,FELPS 7- Floresville West
64827,FELPS 6- Floresville West
64826,FELPS 5- Floresville South
64825,FELPS 4 - Floresville South
64824,FELPS 3 - Floresville South					
64823,FELPS 2 - Calaveras			
64821,FELPS 1 - Calaveras
64665,Great Prairie Wind
55480,Forney Energy Center
55215,Odessa-Ector Power Plant
61921,Tahoka Wind
61962,Holstein 1 Solar Farm
61920,Galloway 1 Solar Farm
61906,Phoebe Solar
59407,Newman Solar
58681,Route 66 Wind Plant
59475,Palo Duro Wind
59145,Freeport LP Pretreatment Facility
65539,E. Porte Ct.
65538,Cutten
65946,Hecate Energy Upshur Rural LLC
65838,Hoef's Road Storage
65836,Toyah Power Station
65835,Screwbean
65834,Saddleback
65833,Rattlesnake (TX)
65831,Lonestar
65829,Holcomb (TX)
65813,Faulkner
65811,Coyote Springs (TX)
65810,Cedarville (TX)
64639,TG East
62618,Hidalgo Wind Farm II
62587,Mesquite Star
61697,Lamesa II
63905,Azure Sky Solar
63209,Aviator Wind
58838,Keechi Wind
55097,Lamar Power Project
60789,Bluebell Solar
59005,Mariah del Norte
60087,South Plains II
61865,"Rio Bravo Windpower, LLC"
61848,"PYCO Industries, Inc. Wind Farm"
60743,"Rattlesnake Power, LLC"
62411,Griffin Trail Wind
65537,Clara
65536,Citrus City
65809,Caterina
65763,Young Wind
64322,Zapata
64321,Sweeny
64319,Ranchtown
64318,Pueblo BA
62566,Blue Summit III Wind
62561,"Roadrunner, LLC Hybrid"
62562,"High Lonesome Wind Power, LLC Hybrid"
64204,Elara Solar
63769,Briar Creek Solar 1
63764,Elm Branch Solar 1
63222,Impact Solar 1
64892,"TPE Erath Solar, LLC"
61875,Cascade Solar (TX)
61874,Eddy II
61873,Yellow Jacket
61871,Sterling Solar (TX)
61868,Bronson
61867,Bovine
61966,Victoria Port Power II LLC
65333,Shakes Solar
59943,Rattlesnake Den
59381,"The Methodist Hospital, Gas Turbine"
59384,South Plains Wind Phase I
65535,Bakke
65662,Vancourt Solar Interconnections
65661,Nebula Solar
65631,"Pisgah Ridge Solar, LLC"
66046,Brazoria County Solar Project (Danciger)
55365,Exelon LaPorte Generating Station
62505,G.S.E. One LLC
56839,Flat Iron Wind (7) LLC
56838,Brisket Wind (8) LLC
56837,Tri-Tip Wind (9) LLC
56836,T-Bone Wind (10) LLC
56835,Ribeye Wind (11) LLC
56562,Tenderloin Wind (6) LLC
