,period,msn,value,unit
0,2023-01,TXCCBUS,621.73,Trillion Btu
1,2023-01,TXEIEUS,117.289,Million Metric Tons of Carbon Dioxide
2,2023-01,TXICBUS,1953.793,Trillion Btu
3,2023-01,TXRCBUS,1045.863,Trillion Btu
4,2022-12,TXICBUS,1863.02,Trillion Btu
5,2022-12,TXRCBUS,1072.433,Trillion Btu
6,2022-12,TXCCBUS,634.577,Trillion Btu
7,2022-12,TXEIEUS,133.744,Million Metric Tons of Carbon Dioxide
8,2022-11,TXCCBUS,473.162,Trillion Btu
9,2022-11,TXRCBUS,701.878,Trillion Btu
10,2022-11,TXICBUS,1959.514,Trillion Btu
11,2022-11,TXEIEUS,109.755,Million Metric Tons of Carbon Dioxide
12,2022-10,TXCCBUS,330.13,Trillion Btu
13,2022-10,TXRCBUS,402.348,Trillion Btu
14,2022-10,TXEIEUS,110.759,Million Metric Tons of Carbon Dioxide
15,2022-10,TXICBUS,1963.464,Trillion Btu
16,2022-09,TXCCBUS,242.726,Trillion Btu
17,2022-09,TXRCBUS,245.328,Trillion Btu
18,2022-09,TXICBUS,1902.072,Trillion Btu
19,2022-09,TXEIEUS,130.619,Million Metric Tons of Carbon Dioxide
20,2022-08,TXCCBUS,229.952,Trillion Btu
21,2022-08,TXICBUS,1966.07,Trillion Btu
22,2022-08,TXRCBUS,226.178,Trillion Btu
23,2022-08,TXEIEUS,164.227,Million Metric Tons of Carbon Dioxide
24,2022-07,TXICBUS,1970.161,Trillion Btu
25,2022-07,TXRCBUS,238.059,Trillion Btu
26,2022-07,TXCCBUS,234.841,Trillion Btu
27,2022-07,TXEIEUS,167.55,Million Metric Tons of Carbon Dioxide
28,2022-06,TXICBUS,1895.275,Trillion Btu
29,2022-06,TXRCBUS,257.783,Trillion Btu
30,2022-06,TXCCBUS,242.322,Trillion Btu
31,2022-06,TXEIEUS,139.866,Million Metric Tons of Carbon Dioxide
32,2022-05,TXCCBUS,286.245,Trillion Btu
33,2022-05,TXRCBUS,351.462,Trillion Btu
34,2022-05,TXICBUS,1875.529,Trillion Btu
35,2022-05,TXEIEUS,115.77,Million Metric Tons of Carbon Dioxide
36,2022-04,TXICBUS,1882.9,Trillion Btu
37,2022-04,TXRCBUS,562.086,Trillion Btu
38,2022-04,TXCCBUS,387.065,Trillion Btu
39,2022-04,TXEIEUS,98.251,Million Metric Tons of Carbon Dioxide
40,2022-03,TXCCBUS,520.119,Trillion Btu
41,2022-03,TXRCBUS,801.078,Trillion Btu
42,2022-03,TXICBUS,1995.185,Trillion Btu
43,2022-03,TXEIEUS,106.405,Million Metric Tons of Carbon Dioxide
44,2022-02,TXCCBUS,611.202,Trillion Btu
45,2022-02,TXRCBUS,1034.126,Trillion Btu
46,2022-02,TXEIEUS,118.466,Million Metric Tons of Carbon Dioxide
47,2022-02,TXICBUS,1848.635,Trillion Btu
48,2022-01,TXCCBUS,702.927,Trillion Btu
49,2022-01,TXICBUS,2060.225,Trillion Btu
50,2022-01,TXRCBUS,1217.697,Trillion Btu
51,2022-01,TXEIEUS,143.813,Million Metric Tons of Carbon Dioxide
52,2021-12,TXCCBUS,537.006,Trillion Btu
53,2021-12,TXRCBUS,876.67,Trillion Btu
54,2021-12,TXICBUS,2010.912,Trillion Btu
55,2021-12,TXEIEUS,113.129,Million Metric Tons of Carbon Dioxide
56,2021-11,TXCCBUS,455.939,Trillion Btu
57,2021-11,TXRCBUS,658.958,Trillion Btu
58,2021-11,TXICBUS,1931.111,Trillion Btu
59,2021-11,TXEIEUS,109.493,Million Metric Tons of Carbon Dioxide
60,2021-10,TXCCBUS,301.648,Trillion Btu
61,2021-10,TXRCBUS,333.096,Trillion Btu
62,2021-10,TXEIEUS,118.184,Million Metric Tons of Carbon Dioxide
63,2021-10,TXICBUS,1948.29,Trillion Btu
64,2021-09,TXCCBUS,243.184,Trillion Btu
65,2021-09,TXRCBUS,235.863,Trillion Btu
66,2021-09,TXICBUS,1868.884,Trillion Btu
67,2021-09,TXEIEUS,136.815,Million Metric Tons of Carbon Dioxide
68,2021-08,TXCCBUS,229.639,Trillion Btu
69,2021-08,TXICBUS,1952.382,Trillion Btu
70,2021-08,TXRCBUS,215.097,Trillion Btu
