plantid,plantName
55139,Wolf Hollow I LP
10298,Bayou Cogen Plant
54748,Port Neches Plant
52122,Wasson CO2 Removal Plant
10568,Port Arthur Texas Refinery
3548,Decker Creek
7900,Sand Hill
55708,Nacogdoches Power
56374,Robert Mueller Energy Center
61741,Kingsberry Energy Storage System
61742,System Control Center
55144,Hays Energy Project
55311,BASF Freeport Works
55122,NAFTA Region Olefins Complex Cogen Fac
55357,Jack Fusco Energy Center
3628,R W Miller
54817,Johnson County
55230,Jack County
3559,Silas Ray
3561,Bryan (TX)
6243,Dansby
54979,Big Spring Wind Power Facility
55327,Baytown Energy Center
55123,Magic Valley Generating Station
55545,Hidalgo Energy Center
55299,Channel Energy Center LLC
10243,Ticona Polymers Inc
55206,Corpus Christi Energy Center
55358,Cottonwood Energy Project
55464,Deer Park Energy Center
61643,Denton Energy Center
50475,Corpus Christi
56152,Freeport Energy Center
54676,Oyster Creek Unit VIII
9,Copper
3456,Newman
58562,Montana Power Station
60300,Montana Solar Facility
55223,Ennis Power Company LLC
3491,Handley
59812,Wolf Hollow II
60122,Colorado Bend II
50625,ExxonMobil Beaumont Refinery
10436,ExxonMobil Baytown Refinery
10692,ExxonMobil Baytown Turbine
55581,King Mountain Wind Ranch 1
50026,Corpus Refinery
10554,Formosa Utility Venture Ltd
56708,CFB Power Plant
55226,Freestone Energy Center
54520,Village Creek Water Reclamation Facility
794,Lewisville
3576,Ray Olinger
4266,Spencer
55065,Mustang Station
56326,Mustang Station Unit 4
57865,Antelope Station
57866,Golden Spread Panhandle Wnd Rch
58835,Elk Station
54321,Goodyear Beaumont Chemical Plant
4195,Powerlane Plant
55086,Gregory Power Plant
791,Canyon
3581,Abbott TP 3
3582,Dunlap TP 1
3583,H 4
3584,H 5
3585,Nolte
3586,TP 4
6128,Amistad Dam & Power
6410,Falcon Dam & Power
55047,Pasadena Cogeneration
3594,Austin
3595,Buchanan Dam (TX)
3597,Granite Shoals
3598,Inks
3599,Marble Falls
3600,Marshall Ford
3601,Sim Gideon
4937,Thomas C Ferguson
6179,Fayette Power Project
55154,Lost Pines 1 Power Project
56674,Winchester Power Park
3602,Ty Cooke
3604,J Robert Massengale
7131,Brandon Station
50101,WestRock (TX)
55091,Midlothian Energy Facility
50973,Motiva Enterprises Port Arthur Refinery
55664,Harrison County Power Project
55747,NWP Indian Mesa Wind Farm
50043,Houston Chemical Complex Battleground
55796,Woodward Mountain I
55795,Woodward Mountain II
54628,Phelps Dodge Refining
52176,C R Wing Cogen Plant
56795,Penascal Wind Power LLC
57095,Penascal II Wind Project LLC
57156,Barton Chapel Wind Farm
57927,Baffin Wind
58614,Patriot Wind Farm
61343,Karankawa Wind LLC
50054,Rice University
54338,Rio Grande Valley Sugar Growers
3609,Leon Creek
3611,O W Sommers
3612,V H Braunig
7097,J K Spruce
7512,Arthur Von Rosenberg
55137,Rio Nogales Power Project
60472,CPS 1 Community Solar
62609,Commerce ESS
62610,Commerce Solar
6183,San Miguel
54330,Westhollow Technology Center
56111,Brazos Wind Farm
50067,Borger Plant
52132,Power Station 4
55470,Green Power 2
3630,Pearsall
3631,Sam Rayburn
59391,Red Gate Power Plant
58766,Wake Wind Energy Center
59994,RE Roserock
60372,Lamesa Solar
60414,Bethel Wind Farm LLC
60436,East Pecos Solar
60502,"Tyler Bluff Wind Project, LLC"
60657,"Salt Fork Wind Project, LLC"
61001,Cactus Flats Wind Energy Project
3476,Knox Lee
3478,Wilkes
6139,Welsh
7902,Pirkey
3482,Jones
3484,Nichols
3485,Plant X
6193,Harrington
6194,Tolk
59247,Hale Community Wind Farm
55390,State Farm Insur Support Center Central
55132,Tenaska Gateway Generating Station
55062,Tenaska Frontier Generation Station
50229,Texas Petrochemicals
55968,Trent Wind Farm LP
6413,Sam Rayburn Dam
6414,Whitney
7200,Robert D Willis
50150,Union Carbide Seadrift Cogen
50118,Hal C Weaver Power Plant
50121,Valero Refinery Corpus Christi West
6251,South Texas Project
55320,Wise County Power LLC
55015,Sweeny Cogen Facility
52088,Texas City Power Plant
55064,Black Hawk Station
55313,Ingleside Cogeneration
50141,Snider Industries
50241,Tenet Hospital
6416,Denison
10261,Enterprise Products Operating
54637,JCO Oxides Olefins Plant
60468,Friendswood Energy
50153,Texas City Plant Union Carbide
56603,San Jacinto County Peaking Facility
58645,RC Thomas Hydroelectric Project
58944,Woodville Renewable Power Project
55168,Bastrop Energy Center
55176,Eastman Cogeneration Facility
55992,Desert Sky
56506,Scurry County Wind LP
56644,Stanton Wind Energy LLC
56773,McAdoo Wind Energy LLC
56774,Turkey Track Wind Energy LLC
56775,Scurry County Wind II
56776,Gunsight Mountain Wind Energy LLC
58321,Goldthwaite Wind Energy Facility
58765,Miami Wind Energy Center
62038,Santa Rita East
63211,Samson Solar Energy
63883,Samson Solar Energy III LLC
56225,Aeolus Wind Facility
56233,EG178 Facility
3439,Laredo
3441,Nueces Bay
4939,Barney M Davis
10790,Victoria Texas Plant
56270,Callahan Divide Wind Energy Center
56291,Horse Hollow Wind Energy Center
55052,Jameson Gas Processing Plant
56211,Sweetwater Wind 1 LLC
56212,Sweetwater Wind 2 LLC
56311,Sweetwater Wind 3 LLC
56337,Sweetwater Wind 4 LLC
56372,Sweetwater Wind 5
58710,Barilla Solar
60506,ETT Presidio NaS Battery
3437,Eagle Pass
50109,Paris Energy Center
10167,Seadrift Coke LP
10425,International Paper - Orange
56395,Mesquite Wind Power LLC
56483,Post Oak Wind LLC
10154,Power Island
50127,Signal Hill Generating LLC
50404,BP Chemicals Green Lake Plant
56524,Austin Gas Recovery
57020,Westside Landfill Gas Recovery
57165,Farmers Branch Renewable Energy Facility
57167,Mesquite Creek LFGTE Project
56457,Post Wind Farm LP
298,Limestone
3460,Cedar Bayou
3464,Greens Bayou
3469,T H Wharton
3470,W A Parish
7325,San Jacinto Steam Electric Station
61362,NRG Elbow Creek Energy Storage Project
56649,South Trent Wind Farm
10072,Engineered Carbons Borger Cogen
56602,Snyder Wind Farm
56864,Covel Gardens Gas Recovery
56611,Sandy Creek Energy Station
50815,"Odyssey Energy Altura Cogen, LLC"
55172,Bosque County Peaking
56673,Whirlwind Energy Center
3457,Lewis Creek
3459,Sabine
6595,Toledo Bend
56604,Hardin County Peaking Facility
60925,Montgomery County
56763,Capricorn Ridge Wind LLC
56783,Elbow Creek Wind Project LLC
3452,Lake Hubbard
3490,Graham
3492,Morgan Creek
3494,Permian Basin
3504,Stryker Creek
3507,Trinidad (TX)
6145,Comanche Peak
6146,Martin Lake
