,period,seriesId,seriesDescription,value,unit
217,2020-01,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",4.36457469,billion kilowatthours
211,2020-02,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",3.947824918,billion kilowatthours
209,2020-03,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",4.2851941,billion kilowatthours
203,2020-04,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",4.863269918,billion kilowatthours
195,2020-05,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",4.898149216,billion kilowatthours
191,2020-06,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.501823001,billion kilowatthours
185,2020-07,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.348566553,billion kilowatthours
179,2020-08,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.9954056,billion kilowatthours
173,2020-09,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.352638498,billion kilowatthours
167,2020-10,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.761139888,billion kilowatthours
161,2020-11,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.254534232,billion kilowatthours
155,2020-12,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.206820372,billion kilowatthours
149,2021-01,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.570614706,billion kilowatthours
141,2021-02,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.297241577,billion kilowatthours
137,2021-03,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",3.887308024,billion kilowatthours
131,2021-04,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",4.695556128,billion kilowatthours
125,2021-05,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.673818356,billion kilowatthours
119,2021-06,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",7.561799179,billion kilowatthours
113,2021-07,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",7.934833092,billion kilowatthours
107,2021-08,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",7.450635036,billion kilowatthours
101,2021-09,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.639198678,billion kilowatthours
93,2021-10,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.949044058,billion kilowatthours
89,2021-11,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.121430202,billion kilowatthours
83,2021-12,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.393876372,billion kilowatthours
74,2022-01,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.545819382,billion kilowatthours
67,2022-02,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.978240458,billion kilowatthours
65,2022-03,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.146731461,billion kilowatthours
59,2022-04,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.071148175,billion kilowatthours
51,2022-05,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.092948441,billion kilowatthours
47,2022-06,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.645845238,billion kilowatthours
41,2022-07,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",7.068470955,billion kilowatthours
35,2022-08,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.801359149,billion kilowatthours
29,2022-09,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",6.303659776,billion kilowatthours
23,2022-10,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.603011948,billion kilowatthours
17,2022-11,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.504823316,billion kilowatthours
11,2022-12,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",5.455245849,billion kilowatthours
2,2023-01,CLEPGEN_TX,"Electric power sector net generation from coal, Texas (ERCOT)",3.350762366,billion kilowatthours
