,period,seriesId,seriesDescription,value,unit
221,2020-01,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",101.322595,billion cubic feet
210,2020-02,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",99.341021,billion cubic feet
206,2020-03,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",100.81033,billion cubic feet
202,2020-04,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",90.934755,billion cubic feet
196,2020-05,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",114.630016,billion cubic feet
190,2020-06,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",135.032304,billion cubic feet
184,2020-07,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",174.440063,billion cubic feet
174,2020-08,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",177.080279,billion cubic feet
172,2020-09,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",132.427859,billion cubic feet
166,2020-10,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",118.323991,billion cubic feet
156,2020-11,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",85.27576,billion cubic feet
154,2020-12,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",90.223239,billion cubic feet
146,2021-01,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",93.856258,billion cubic feet
142,2021-02,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",105.482173,billion cubic feet
136,2021-03,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",70.086391,billion cubic feet
126,2021-04,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",88.889847,billion cubic feet
124,2021-05,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",97.617377,billion cubic feet
114,2021-06,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",144.567998,billion cubic feet
112,2021-07,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",164.703596,billion cubic feet
104,2021-08,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",167.39061,billion cubic feet
100,2021-09,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",139.699295,billion cubic feet
94,2021-10,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",115.99062,billion cubic feet
88,2021-11,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",82.872649,billion cubic feet
82,2021-12,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",84.96975,billion cubic feet
76,2022-01,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",107.535637,billion cubic feet
66,2022-02,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",97.483617,billion cubic feet
62,2022-03,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",75.209946,billion cubic feet
58,2022-04,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",78.418461,billion cubic feet
52,2022-05,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",125.157331,billion cubic feet
46,2022-06,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",153.258101,billion cubic feet
40,2022-07,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",183.095895,billion cubic feet
30,2022-08,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",183.737182,billion cubic feet
28,2022-09,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",152.357819,billion cubic feet
22,2022-10,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",116.243914,billion cubic feet
12,2022-11,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",99.396507,billion cubic feet
10,2022-12,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",117.037589,billion cubic feet
4,2023-01,NGEPCNS_TX,"Electric power sector  consumption of natural gas, Texas (ERCOT)",103.396003,billion cubic feet
