,period,seriesId,seriesDescription,value,unit
219,2020-01,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",12.775475621,billion kilowatthours
215,2020-02,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",12.468100158,billion kilowatthours
207,2020-03,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",12.279991759,billion kilowatthours
201,2020-04,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",10.997354784,billion kilowatthours
197,2020-05,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",14.05938931,billion kilowatthours
189,2020-06,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",16.651489585,billion kilowatthours
183,2020-07,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",21.439225696,billion kilowatthours
175,2020-08,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",21.505703285,billion kilowatthours
171,2020-09,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",16.608207784,billion kilowatthours
165,2020-10,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",14.277624546,billion kilowatthours
157,2020-11,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",10.026508571,billion kilowatthours
153,2020-12,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",10.998097003,billion kilowatthours
147,2021-01,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",11.641585186,billion kilowatthours
143,2021-02,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",12.769068983,billion kilowatthours
135,2021-03,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",8.278469028,billion kilowatthours
127,2021-04,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",10.08482105,billion kilowatthours
123,2021-05,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",11.729180872,billion kilowatthours
115,2021-06,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",17.550486639,billion kilowatthours
111,2021-07,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",20.167196766,billion kilowatthours
105,2021-08,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",20.476046293,billion kilowatthours
99,2021-09,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",17.17023791,billion kilowatthours
95,2021-10,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",13.964897335,billion kilowatthours
87,2021-11,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",9.873711519,billion kilowatthours
81,2021-12,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",10.40138046,billion kilowatthours
75,2022-01,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",13.132743889,billion kilowatthours
71,2022-02,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",11.752305181,billion kilowatthours
63,2022-03,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",8.531399728,billion kilowatthours
57,2022-04,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",9.00984863,billion kilowatthours
53,2022-05,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",15.023112657,billion kilowatthours
45,2022-06,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",18.802036127,billion kilowatthours
39,2022-07,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",22.609434374,billion kilowatthours
31,2022-08,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",22.87411766,billion kilowatthours
27,2022-09,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",19.232498057,billion kilowatthours
21,2022-10,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",14.27722329,billion kilowatthours
13,2022-11,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",12.046655903,billion kilowatthours
9,2022-12,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",14.586473427,billion kilowatthours
3,2023-01,NGEPGEN_TX,"Electric power sector net generation from natural gas, Texas (ERCOT)",12.517534399,billion kilowatthours
