,period,msn,seriesDescription,value,unit
3,2023-01,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1047.422,Trillion Btu
5,2022-12,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1072.405,Trillion Btu
9,2022-11,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,701.852,Trillion Btu
13,2022-10,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,402.371,Trillion Btu
17,2022-09,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,245.329,Trillion Btu
22,2022-08,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,226.181,Trillion Btu
25,2022-07,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,238.045,Trillion Btu
29,2022-06,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,257.778,Trillion Btu
33,2022-05,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,351.459,Trillion Btu
37,2022-04,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,562.102,Trillion Btu
41,2022-03,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,801.107,Trillion Btu
45,2022-02,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1034.159,Trillion Btu
50,2022-01,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1217.671,Trillion Btu
53,2021-12,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,876.669,Trillion Btu
57,2021-11,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,658.958,Trillion Btu
61,2021-10,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,333.095,Trillion Btu
65,2021-09,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,235.863,Trillion Btu
70,2021-08,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,215.097,Trillion Btu
73,2021-07,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,226.341,Trillion Btu
77,2021-06,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,250.305,Trillion Btu
81,2021-05,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,359.032,Trillion Btu
85,2021-04,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,501.19,Trillion Btu
89,2021-03,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,772.907,Trillion Btu
93,2021-02,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1110.144,Trillion Btu
98,2021-01,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1128.654,Trillion Btu
101,2020-12,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1009.398,Trillion Btu
105,2020-11,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,598.95,Trillion Btu
109,2020-10,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,379.095,Trillion Btu
113,2020-09,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,241.42,Trillion Btu
118,2020-08,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,214.021,Trillion Btu
121,2020-07,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,225.971,Trillion Btu
125,2020-06,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,252.239,Trillion Btu
129,2020-05,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,383.995,Trillion Btu
133,2020-04,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,537.81,Trillion Btu
137,2020-03,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,705.753,Trillion Btu
141,2020-02,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,934.462,Trillion Btu
147,2020-01,TXRCBUS,Total Primary Energy Consumed by the Residential Sector in Trillion Btu,1043.146,Trillion Btu
