,period,msn,seriesDescription,value,unit
1,2023-01,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,117.289,Million Metric Tons of Carbon Dioxide
7,2022-12,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,133.744,Million Metric Tons of Carbon Dioxide
11,2022-11,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,109.755,Million Metric Tons of Carbon Dioxide
14,2022-10,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,110.759,Million Metric Tons of Carbon Dioxide
19,2022-09,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,130.619,Million Metric Tons of Carbon Dioxide
23,2022-08,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,164.227,Million Metric Tons of Carbon Dioxide
27,2022-07,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,167.55,Million Metric Tons of Carbon Dioxide
31,2022-06,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,139.866,Million Metric Tons of Carbon Dioxide
35,2022-05,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,115.77,Million Metric Tons of Carbon Dioxide
39,2022-04,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,98.251,Million Metric Tons of Carbon Dioxide
43,2022-03,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,106.405,Million Metric Tons of Carbon Dioxide
46,2022-02,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,118.466,Million Metric Tons of Carbon Dioxide
51,2022-01,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,143.813,Million Metric Tons of Carbon Dioxide
55,2021-12,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,113.129,Million Metric Tons of Carbon Dioxide
59,2021-11,TXEIEUS,Total Energy Electric Power Sector CO2 Emissions in Million Metric Tons of Carbon Dioxide,109.493,Million Metric Tons of Carbon Dioxide
